1.72,1.39,0.885,1.96
1.64,1.37,0.861,1.81
1.88,1.39,0.745,2.2
1.64,0.92,0.58,1.33
1.64,1.64,0.745,1.33
1.72,1.39,0.745,1.33
1.72,0.92,0.745,1.33
1.72,1.37,0.62,1.33
1.88,1.72,0.745,1.33
1.64,1.72,0.58,1.96
1.88,1.64,0.58,1.96
1.72,1.39,1.032,1.81
1.88,1.37,0.72,1.33
1.72,1.72,0.912,1.81
1.88,1.39,1.032,1.81
1.72,0.92,0.76,1.81
1.72,1.37,0.745,1.33
1.39,1.39,0.745,1.96
1.72,1.39,0.983,2.2
1.88,1.72,0.958,1.81
1.64,1.22,0.73,1.81
1.88,1.37,0.938,1.81
1.88,1.28,0.58,1.81
1.72,1.72,0.983,1.81
1.72,1.72,0.58,1.96
1.64,1.28,0.62,1.33
1.88,1.72,0.665,1.33
1.88,1.64,0.8,1.33
1.88,0.92,1.13,2.2
1.88,1.64,0.938,1.81
1.64,1.72,0.62,1.96
1.64,1.39,0.9,1.96
1.72,0.92,0.885,1.81
1.72,1.39,0.76,1.81
1.64,1.39,0.58,1.81
1.88,1.64,0.9,1.81
1.88,1.64,0.861,1.81
1.39,1.39,0.58,1.81
1.72,1.72,0.923,1.81
1.72,0.92,1.17,1.81
1.88,1.28,0.89,1.81
1.88,1.64,0.62,1.33
1.88,1.72,1.17,1.96
1.88,1.64,0.76,1.96
1.72,1.28,0.983,1.33
1.39,1.37,0.535,1.33
1.64,1.28,0.88,1.81
1.72,1.72,0.58,2.2
1.72,0.92,0.983,1.81
1.64,0.77,0.923,1.81
1.72,0.92,1.13,2.2
1.64,1.39,1.13,1.81
1.64,0.92,0.912,1.81
1.88,1.64,0.983,1.96
1.72,1.37,0.665,1.33
1.64,1.39,0.89,1.81
1.88,1.39,0.885,1.96
1.39,1.28,0.8,1.81
1.88,1.72,0.9,1.96
1.88,1.28,0.76,2.2
1.64,0.92,0.923,1.81
1.64,1.28,0.912,1.81
1.64,1.72,0.62,2.2
1.88,1.7,0.62,1.96
1.88,1.28,0.983,1.33
1.72,1.7,0.745,1.96
1.72,1.39,0.58,1.33
1.72,1.39,1.17,1.96
1.72,1.7,0.8,1.33
1.72,1.39,0.535,1.33
1.88,1.39,0.861,1.81
1.88,1.64,0.885,1.81
1.88,1.37,0.745,1.96
1.39,0.92,0.535,1.33
1.88,1.72,0.62,1.81
1.88,1.7,0.535,1.81
1.39,0.92,0.885,1.96
1.64,0.92,0.8,1.81
1.72,0.77,0.76,1.81
1.72,1.39,1.01,2.2
1.64,1.37,0.912,1.81
1.88,0.92,1.01,2.2
1.64,1.64,0.912,1.81
1.88,1.72,0.9,2.2
1.88,1.64,0.912,1.81
1.64,1.72,0.8,2.2
1.72,1.39,0.9,1.33
1.39,1.37,0.72,1.33
1.39,0.77,0.9,1.81
1.88,0.92,0.923,1.81
1.64,0.92,0.938,1.81
1.88,1.72,0.8,1.33
1.64,1.37,1.17,1.81
1.72,0.77,0.983,2.2
1.88,1.37,0.9,2.2
1.64,1.39,0.912,1.81
1.88,0.77,0.89,1.81
1.64,1.37,1.032,1.81
1.64,1.72,0.76,1.96
1.64,0.92,1.13,1.81
1.39,0.92,0.58,1.33
1.64,1.64,0.745,1.96
1.72,1.28,0.76,1.96
1.64,1.64,0.923,1.81
1.72,0.92,0.76,2.2
1.64,1.64,0.8,1.81
1.88,1.72,0.745,1.81
1.88,0.92,0.8,1.33
1.64,1.39,1.01,1.96
1.64,1.72,0.8,1.33
1.39,1.28,0.885,1.33
1.64,1.64,1.17,2.2
1.88,1.28,1.032,1.81
1.72,1.28,1.13,2.2
1.72,1.72,0.545,1.33
1.64,1.64,0.861,1.81
1.72,0.77,0.745,1.81
1.72,1.39,0.885,1.81
1.88,0.92,1.13,1.81
1.64,1.72,0.64,1.33
1.88,0.92,0.912,1.81
1.64,1.37,0.62,1.33
1.64,1.39,0.983,1.96
1.88,1.72,0.983,1.81
1.72,1.28,0.62,1.81
1.64,1.72,0.535,2.2
1.64,0.92,0.983,1.33
1.39,1.14,0.67,1.33
1.88,0.92,0.69,1.96
1.88,1.7,0.8,1.81
1.64,1.64,1.032,1.81
1.39,1.28,0.76,1.81
1.64,1.64,0.62,2.2
1.64,1.72,0.62,2.2
1.88,1.88,0.62,2.2
1.72,1.28,0.9,1.81
0.92,0.77,0.76,1.33
1.72,1.28,1.17,1.33
1.88,1.72,0.745,1.96
1.64,1.64,0.983,2.2
1.88,1.72,0.76,1.96
1.39,1.39,0.665,1.33
1.72,1.7,0.9,1.33
1.88,1.88,1.01,1.81
1.64,1.72,0.9,1.81
1.72,1.72,0.665,1.33
1.88,1.39,1.13,2.2
1.64,1.28,0.745,1.96
1.64,1.72,1.13,1.33
1.88,1.7,0.745,1.81
0.92,1.28,0.535,1.33
1.64,1.72,0.58,1.33
1.64,0.92,1.13,1.96
1.64,1.72,0.535,1.96
1.64,1.39,1.01,2.2
1.64,1.37,0.535,1.81
1.72,1.7,0.8,1.81
1.64,1.28,0.76,1.81
0.92,0.92,0.665,1.33
0.92,0.92,0.62,1.33
1.88,1.37,0.72,1.33
1.88,1.64,1.01,1.96
1.88,1.64,0.62,1.33
1.64,1.7,0.745,1.96
1.64,1.37,0.745,2.2
1.64,1.28,0.76,1.96
1.64,1.72,1.17,1.33
1.88,1.28,0.88,1.81
1.64,1.37,0.535,1.33
1.88,1.64,0.76,1.81
1.88,1.37,1.17,1.81
1.39,0.92,0.62,1.33
1.64,1.64,0.545,1.33
1.88,1.72,0.885,1.81
1.64,1.39,0.76,1.33
1.88,1.39,0.983,1.33
1.88,1.64,0.62,1.81
1.64,1.64,0.745,2.2
1.72,0.92,0.983,1.96
1.72,1.39,0.8,1.81
1.72,1.39,0.912,1.81
1.72,1.37,0.745,1.96
1.88,1.39,0.88,1.81
1.72,1.39,1.01,1.96
1.88,1.39,0.58,1.96
1.88,1.88,0.8,1.81
1.64,1.39,1.17,1.33
1.88,1.28,1.17,1.81
1.72,1.28,0.938,1.81
1.64,1.39,0.885,1.96
1.64,0.77,1.17,1.96
1.88,1.88,0.958,1.81
1.88,1.64,0.8,1.33
1.39,1.39,0.58,1.96
1.72,1.28,0.983,1.81
1.88,1.39,0.535,1.81
1.72,1.39,0.535,1.81
1.88,1.39,0.885,2.2
1.64,1.64,0.76,1.96
1.64,1.39,0.62,1.96
1.39,1.28,0.58,1.33
1.88,1.72,0.76,1.33
1.64,1.64,0.665,1.33
1.72,1.39,1.01,1.33
1.64,1.39,1.17,2.2
1.88,1.64,0.69,2.2
1.72,1.37,0.745,2.2
1.72,1.72,0.861,1.81
1.88,0.92,0.9,1.81
1.88,1.72,1.17,1.33
1.88,1.7,0.76,1.96
1.64,1.28,0.745,1.33
1.39,1.28,0.88,1.81
1.88,0.77,1.01,1.81
1.88,1.88,0.89,1.81
1.39,1.39,0.9,2.2
1.72,1.28,1.01,2.2
1.72,1.39,0.983,1.96
1.64,1.39,0.665,1.33
1.72,1.28,0.535,1.81
1.88,1.88,0.58,1.96
1.88,1.72,0.62,1.96
1.64,1.7,0.62,1.33
1.64,1.39,0.69,1.96
1.88,0.77,0.76,2.2
1.72,0.92,0.9,2.2
1.88,1.7,1.17,2.2
1.72,0.92,1.17,1.33
1.64,1.64,0.958,1.81
1.64,1.28,0.535,1.33
1.64,0.92,0.983,1.81
1.64,1.64,0.69,2.2
1.64,0.92,0.76,1.96
1.72,1.39,0.9,1.96
1.72,0.77,0.912,1.81
1.39,0.92,0.745,1.33
1.39,0.77,0.535,1.33
1.88,1.88,0.58,1.81
1.64,1.7,0.58,1.96
1.88,1.37,0.745,2.2
1.64,1.72,0.983,1.81
1.88,1.39,0.983,1.81
1.72,0.92,0.958,1.81
1.72,0.92,0.89,1.81
1.39,1.28,0.745,1.81
1.88,1.64,1.032,1.81
1.88,1.72,0.62,1.33
1.72,1.39,0.58,1.96
1.64,0.92,0.958,1.81
1.72,1.28,1.17,1.96
1.88,1.7,0.8,1.96
1.72,0.77,0.9,2.2
1.88,1.39,0.885,1.33
1.64,0.92,0.885,1.96
1.72,1.72,0.745,1.33
1.64,1.64,0.885,1.96
1.72,1.37,0.9,1.96
1.64,1.28,1.032,1.81
1.64,1.14,0.8,2.2
1.72,1.14,0.58,1.33
1.64,1.28,0.72,1.33
1.39,0.77,0.62,1.33
1.39,1.14,0.535,1.96
1.64,1.39,0.67,1.33
1.72,1.28,0.67,1.33
1.39,1.14,0.58,1.81
1.72,1.14,0.9,1.33
1.72,1.14,0.665,1.33
1.72,1.28,0.885,1.96
1.88,1.14,0.62,1.96
1.64,1.39,0.72,2.2
1.64,1.14,0.535,1.96
1.39,0.77,0.885,1.81
1.72,1.37,0.76,2.2
1.39,1.14,0.535,1.33
1.64,1.72,0.68,1.33
1.88,1.37,0.76,1.96
1.39,1.28,0.62,2.2
1.64,1.72,1.17,1.81
1.88,1.64,0.72,2.2
1.72,0.92,0.72,1.33
1.64,0.77,0.885,1.81
1.72,1.37,0.885,2.2
1.88,1.14,0.62,1.81
1.88,1.28,0.885,2.2
1.64,1.14,0.76,1.33
1.88,1.14,0.58,1.33
1.88,1.14,0.745,2.2
1.72,1.14,0.9,2.2
1.72,0.92,0.72,2.2
1.72,0.92,0.72,1.33
1.72,1.39,0.68,1.33
1.64,1.14,1.17,1.33
1.39,0.77,0.8,1.96
1.72,1.37,0.8,2.2
1.64,1.72,1.01,1.33
1.88,1.64,0.72,1.33
1.64,1.14,0.62,2.2
1.88,1.64,0.72,1.33
1.72,1.28,0.68,1.33
1.72,1.28,0.72,1.33
1.64,1.7,0.68,1.33
1.64,1.14,0.885,1.33
1.39,1.14,0.535,1.81
1.88,1.72,0.67,1.33
1.39,1.14,0.9,1.33
1.64,0.77,0.885,1.96
1.64,1.14,0.885,1.96
1.72,1.14,0.86,1.33
1.64,1.28,0.67,1.33
1.88,1.39,0.72,2.2
0.92,0.92,0.72,1.33
1.64,0.92,0.67,1.33
1.64,1.37,0.76,2.2
1.88,1.14,0.885,1.81
1.64,1.37,0.885,1.96
1.64,1.37,0.58,2.2
1.39,1.39,0.885,2.2
1.88,0.77,0.72,2.2
1.88,1.37,0.885,1.33
1.64,1.72,0.67,1.33
1.72,0.77,0.72,1.96
1.72,1.37,0.885,1.81
1.72,1.39,0.72,1.81
1.88,1.72,1.17,1.81
1.72,1.28,0.8,2.2
1.72,1.14,1.17,2.2
1.72,1.14,0.62,1.96
1.72,1.39,0.6,1.33
1.39,1.37,0.67,1.33
1.64,1.64,0.72,2.2
0.92,0.92,0.68,1.33
1.88,0.77,0.72,1.33
1.39,1.14,0.86,1.33
0.92,1.14,0.535,1.33
1.88,1.14,0.58,2.2
1.72,1.14,0.76,1.81
1.72,0.77,0.8,1.96
0.92,0.92,0.67,1.33
1.72,1.72,0.72,1.33
1.88,1.14,0.9,2.2
1.64,1.72,0.6,1.33
1.64,0.77,0.76,1.81
1.72,1.39,0.64,1.33
1.88,1.37,0.885,1.96
1.72,1.39,0.72,1.33
1.64,1.37,1.17,1.81
1.88,1.37,0.58,1.96
1.64,1.37,0.62,1.96
1.64,1.14,0.8,1.81
1.39,1.14,0.62,1.96
1.64,1.14,0.745,1.96
1.88,0.77,0.72,1.96
1.64,1.28,0.885,1.81
1.72,1.14,0.76,2.2
1.64,1.14,0.745,1.33
1.39,1.37,0.58,1.33
1.88,1.14,1.17,2.2
1.39,1.39,0.72,1.33
1.72,0.77,0.8,1.33
1.72,1.14,0.535,1.33
1.72,1.14,0.58,2.2
1.64,1.7,0.72,1.33
1.88,0.77,0.8,1.81
1.72,1.28,0.72,1.96
1.72,1.14,0.9,1.96
1.72,1.72,0.72,1.33
1.88,1.14,0.745,1.96
1.64,1.14,0.62,1.81
1.64,0.77,0.8,1.81
1.88,1.14,0.535,1.81
1.64,1.14,0.9,1.96
1.39,1.14,0.58,1.96
1.72,1.39,0.545,1.33
1.88,1.37,0.8,1.96
1.72,1.28,0.62,2.2
1.64,1.72,0.72,1.33
1.39,0.92,0.67,1.33
1.72,0.92,0.72,1.81
1.88,1.37,1.17,1.81
1.72,1.37,0.885,1.96
1.88,0.77,0.885,1.33
1.72,1.72,0.67,1.33
1.64,1.64,0.72,1.96
1.72,1.39,0.72,2.2
1.64,1.14,0.9,2.2
1.72,1.14,0.58,1.81
1.64,1.64,0.64,1.33
1.64,1.39,0.6,1.33
1.72,1.14,1.17,1.33
1.72,1.39,0.67,1.33
1.64,0.92,0.72,1.33
1.88,1.14,0.86,1.33
1.64,1.37,0.535,1.96
1.64,0.92,0.64,1.33
1.64,1.28,0.8,2.2
1.64,1.14,0.8,1.96
1.72,0.77,0.885,1.81
1.72,1.28,1.01,1.33
1.64,1.39,0.68,1.33
1.88,1.37,0.68,1.33
1.64,1.28,0.62,1.96
1.64,1.39,0.72,1.33
1.39,1.14,0.8,1.96
1.88,1.28,0.72,2.2
0.92,0.77,0.745,1.33
1.64,1.37,0.62,1.81
1.88,1.37,0.76,2.2
1.88,1.14,0.745,1.81
1.64,1.28,0.72,1.81
1.72,0.92,1.17,1.81
1.88,1.37,0.885,1.81
1.88,1.37,0.535,2.2
1.72,1.14,0.62,1.81
1.88,1.14,0.76,1.96
1.64,1.39,0.64,1.33
1.64,1.72,0.72,1.96
1.88,1.14,0.76,2.2
1.88,0.77,0.72,1.81
1.88,0.92,0.72,1.96
1.64,1.14,0.62,1.33
1.72,1.14,0.745,1.96
1.88,1.37,0.58,2.2
1.72,1.28,0.885,2.2
1.88,1.17,0.73,1.81
1.64,0.92,0.72,2.2
1.88,1.14,1.17,1.81
1.64,1.14,0.72,1.33
1.88,1.28,0.885,1.81
1.72,1.14,0.745,1.81
1.64,1.14,0.8,1.33
1.39,1.14,0.62,1.81
1.72,1.14,1.17,1.81
1.88,1.14,0.535,1.96
1.39,1.14,0.745,1.33
1.72,0.77,0.72,2.2
1.88,1.64,0.68,1.33
1.64,1.64,1.17,1.81
1.88,1.14,0.885,1.96
1.88,1.14,1.17,1.33
1.72,1.14,0.8,2.2
1.39,1.28,0.62,1.96
1.39,0.77,0.885,1.96
1.88,1.14,0.8,1.81
1.39,0.77,0.8,1.81
1.64,1.64,0.55,1.33
1.72,1.37,0.8,1.81
1.64,1.14,0.745,2.2
1.64,1.37,0.58,1.96
1.64,1.14,0.58,1.81
1.72,1.7,0.68,1.33
1.88,1.28,0.885,1.96
1.64,1.14,1.17,1.81
1.88,1.39,0.68,1.33
1.39,1.14,0.885,1.33
1.64,1.14,0.58,1.96
1.88,1.14,0.76,1.33
1.72,1.14,0.8,1.81
1.72,0.92,0.72,1.96
1.72,1.14,0.8,1.96
1.64,1.37,0.8,2.2
1.88,1.14,0.535,1.33
1.39,1.14,0.8,1.33
1.72,1.72,0.55,1.33
1.88,1.14,0.58,1.81
1.64,1.14,0.885,1.81
1.39,0.77,0.9,1.33
1.72,1.39,0.72,1.96
1.72,1.28,1.17,1.81
1.88,1.14,0.8,2.2
1.88,1.14,0.9,1.96
1.72,1.14,0.76,1.33
1.64,1.14,0.76,2.2
1.39,1.14,0.76,1.33
1.39,1.14,0.72,1.33
1.88,1.64,0.72,1.96
1.64,0.77,0.72,1.96
1.39,0.92,0.72,1.33
1.72,1.37,0.62,1.81
1.64,1.14,0.58,2.2
0.92,0.77,0.62,1.33
1.64,1.7,0.72,1.33
1.39,1.28,0.68,1.33
1.72,1.7,0.67,1.33
1.64,1.28,0.62,2.2
1.72,1.14,0.885,1.33
1.64,1.14,0.62,1.96
1.72,0.77,0.885,1.33
1.88,1.14,0.9,1.81
1.72,0.77,0.68,1.33
1.64,0.92,0.68,1.33
1.64,1.28,1.17,1.81
1.72,1.14,0.72,1.33
1.88,1.39,0.58,1.33
1.39,1.14,0.58,2.2
1.72,1.14,0.8,1.33
1.39,1.14,0.665,1.33
1.39,0.92,0.72,1.33
1.64,1.37,0.885,1.33
1.72,1.72,0.68,1.33
1.88,1.37,0.8,2.2
1.39,0.92,0.72,1.33
1.72,1.14,1.17,1.96
1.88,1.72,0.861,1.81
1.64,1.14,1.17,1.96
1.88,0.77,0.8,1.96
1.64,1.14,0.745,1.81
1.72,0.92,0.68,1.33
1.88,1.37,0.62,1.81
1.88,1.37,0.8,1.81
1.88,1.28,0.8,2.2
1.72,1.28,0.885,1.81
1.64,0.77,0.8,1.96
1.88,1.7,0.68,1.33
1.64,1.37,0.885,2.2
1.64,1.39,0.67,1.33
1.72,1.7,0.72,1.33
1.72,0.73,0.86,1.33
1.88,1.28,0.72,1.96
1.88,1.7,0.72,1.33
1.39,0.77,0.8,1.33
1.88,0.92,0.72,2.2
1.72,1.7,0.72,1.33
1.88,1.72,0.68,1.33
1.72,1.72,0.64,1.33
1.64,1.37,0.885,1.81
1.39,1.39,0.67,1.33
1.72,1.28,0.62,1.96
1.39,1.39,0.72,1.33
1.64,1.14,0.665,1.33
1.72,1.37,0.885,1.33
1.88,1.64,0.68,1.33
1.72,1.14,0.745,1.33
1.64,1.14,1.17,2.2
1.72,1.37,0.535,1.96
1.88,0.77,0.62,1.81
1.88,1.64,0.72,1.81
1.64,0.77,0.885,1.33
1.88,1.7,0.72,1.33
1.88,1.14,1.17,1.96
1.64,1.39,1.17,1.81
1.64,1.39,0.72,1.81
1.39,1.14,0.58,1.33
1.64,0.92,0.72,1.81
1.72,1.37,1.17,2.2
1.72,1.14,0.9,1.81
1.64,1.72,0.68,1.33
1.72,1.37,0.68,1.33
1.64,1.37,0.67,1.33
1.64,1.64,0.68,1.33
1.88,1.39,0.72,1.81
1.72,1.37,0.62,2.2
1.88,1.28,0.72,1.33
1.64,1.72,0.545,1.33
1.64,1.72,0.72,1.81
1.39,0.77,0.885,1.33
1.72,1.28,0.72,2.2
1.88,1.37,1.17,2.2
1.88,1.37,0.885,2.2
1.88,1.64,0.72,1.33
1.64,1.28,0.72,2.2
1.64,1.17,0.73,1.81
1.39,0.92,0.68,1.33
1.88,1.14,0.885,1.33
1.72,1.37,0.76,1.96
1.64,1.72,0.72,1.33
1.64,1.37,0.76,1.96
1.72,1.14,0.76,1.96
